Overall rank,Country or region,Score,GDP per capita,Social support,Healthy life expectancy,Freedom to make life choices,Generosity,Perceptions of corruption
130,Sri Lanka,4366,949,1265,831,470,244,47
131,Myanmar,4360,710,1181,555,525,566,172
132,Chad,4350,350,766,192,174,198,78
133,Ukraine,4332,820,1390,739,178,187,10
134,Ethiopia,4286,336,1033,532,344,209,100
135,Swaziland,4212,811,1149,0,313,74,135
136,Uganda,4189,332,1069,443,356,252,60
137,Egypt,4166,913,1039,644,241,76,67
138,Zambia,4107,578,1058,426,431,247,87
139,Togo,4085,275,572,410,293,177,85
140,India,4015,755,765,588,498,200,85
141,Liberia,3975,73,922,443,370,233,33
142,Comoros,3973,274,757,505,142,275,78
143,Madagascar,3933,274,916,555,148,169,41
144,Lesotho,3802,489,1169,168,359,107,93
145,Burundi,3775,46,447,380,220,176,180
146,Zimbabwe,3663,366,1114,433,361,151,89
147,Haiti,3597,323,688,449,26,419,110
148,Botswana,3488,1041,1145,538,455,25,100
149,Syria,3462,619,378,440,13,331,141
150,Malawi,3410,191,560,495,443,218,89
151,Yemen,3380,287,1163,463,143,108,77
152,Rwanda,3334,359,711,614,555,217,411
153,Tanzania,3231,476,885,499,417,276,147
154,Afghanistan,3203,350,517,361,0,158,25
155,Central African Republic,3083,26,0,105,225,235,35
156,South Sudan,2853,306,575,295,10,202,91
